HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD192310,2453629.02170,1.52,1.63,UCLES,-1.0000,-1.0000,0.6852,0.0031,ru77.2892
HD192310,2453629.02548,3.11,1.46,UCLES,-1.0000,-1.0000,0.6880,0.0032,ru77.2893
HD192310,2453664.92867,1.51,1.28,UCLES,-1.0000,-1.0000,0.6859,0.0022,ru78.47
HD192310,2453664.93293,0.43,1.28,UCLES,-1.0000,-1.0000,0.6869,0.0022,ru78.48
HD192310,2453664.93720,-1.93,1.40,UCLES,-1.0000,-1.0000,0.6888,0.0022,ru78.49
HD192310,2453664.94146,2.60,1.41,UCLES,-1.0000,-1.0000,0.6865,0.0022,ru78.50
HD192310,2453665.98253,2.34,1.38,UCLES,-1.0000,-1.0000,0.6877,0.0024,ru78.273
HD192310,2453665.98795,-2.22,1.44,UCLES,-1.0000,-1.0000,0.6852,0.0024,ru78.274
HD192310,2453665.99338,-5.67,1.34,UCLES,-1.0000,-1.0000,0.6872,0.0024,ru78.275
HD192310,2453665.99880,-6.41,1.42,UCLES,-1.0000,-1.0000,0.6896,0.0023,ru78.276
HD192310,2453667.97332,-0.55,1.42,UCLES,-1.0000,-1.0000,0.6839,0.0024,ru78.569
HD192310,2453667.97759,-0.89,1.34,UCLES,-1.0000,-1.0000,0.6821,0.0024,ru78.570
HD192310,2453667.98186,-0.68,1.29,UCLES,-1.0000,-1.0000,0.6847,0.0024,ru78.571
HD192310,2453667.98613,-5.05,1.42,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru78.572
HD192310,2453668.95913,-1.98,1.41,UCLES,-1.0000,-1.0000,0.6829,0.0024,ru78.772
HD192310,2453668.96340,-1.84,1.43,UCLES,-1.0000,-1.0000,0.6854,0.0025,ru78.773
HD192310,2453668.96769,0.27,1.53,UCLES,-1.0000,-1.0000,0.6841,0.0026,ru78.774
HD192310,2453668.97196,2.39,1.35,UCLES,-1.0000,-1.0000,0.6841,0.0024,ru78.775
HD192310,2453670.96238,-3.12,1.82,UCLES,-1.0000,-1.0000,0.6824,0.0034,ru78.1273
HD192310,2453670.96665,1.38,1.94,UCLES,-1.0000,-1.0000,0.6853,0.0034,ru78.1274
HD192310,2453670.97092,-3.60,1.77,UCLES,-1.0000,-1.0000,0.6834,0.0032,ru78.1275
HD192310,2453670.97519,-3.16,1.68,UCLES,-1.0000,-1.0000,0.6827,0.0031,ru78.1276
HD192310,2453938.20500,1.56,1.44,UCLES,-1.0000,-1.0000,0.6876,0.0026,ru82.90
HD192310,2453938.21040,3.69,1.65,UCLES,-1.0000,-1.0000,0.6846,0.0029,ru82.91
HD192310,2453938.21578,-1.39,1.77,UCLES,-1.0000,-1.0000,0.6891,0.0029,ru82.92
HD192310,2453938.22118,2.02,1.49,UCLES,-1.0000,-1.0000,0.6868,0.0027,ru82.93
HD192310,2453942.07868,-3.52,1.13,UCLES,-1.0000,-1.0000,0.6823,0.0018,ru82.856
HD192310,2453942.08292,-1.79,1.12,UCLES,-1.0000,-1.0000,0.6813,0.0019,ru82.857
HD192310,2453942.08715,-4.20,1.16,UCLES,-1.0000,-1.0000,0.6830,0.0019,ru82.858
