 89686 95735     j    rj49.1626  2454458.167963     -5.13  1.195963   0.489    52978.0 
 89687 95735     j    rj49.2279  2454461.118368     -5.60  1.065066   0.469    52128.0 
 89688 95735     j    rj49.2661  2454461.964028     -2.94  1.149632   0.477    52877.0 
 89689 95735     j    rj50.349   2454493.016759     -0.64  0.921848   0.487    52754.0 
 89690 95735     j    rj53.279   2454548.01081       0.83  0.910737   0.478    54588.0 
 89691 95735     j    rj53.663   2454548.938333     -3.55  0.901365   0.466    52721.0 
 89692 95735     j    rj55.77    2454633.806447     -1.92  0.922102   0.479    52400.0 
 89693 95735     j    rj55.1370  2454639.757593     -4.40  0.911178   0.501    53269.0 
 89694 95735     j    rj55.1567  2454640.769444     -2.47  0.903134   0.493    51859.0 
 89695 95735     j    rj55.1782  2454641.820729     -0.71  0.95388    0.487    52698.0 
 89696 95735     j    rj55.1976  2454643.794016     -0.95  0.986648   0.47     52244.0 
 89697 95735     j    rj55.1977  2454643.796285      3.53  0.940712   0.476    52071.0 
 89698 95735     j    rj55.1978  2454643.798437      1.27  0.951673   0.474    52211.0 
 89699 95735     j    rj61.201   2454778.15581      -1.43  0.928814   0.463    54097.0 
 89700 95735     j    rj61.474   2454779.091505     -5.88  1.027538   0.459    53179.0 
 89701 95735     j    rj61.475   2454779.093113     -5.57  1.044006   0.466    53385.0 
 89702 95735     j    rj61.476   2454779.094711     -5.92  1.154226   0.464    52649.0 
 89703 95735     j    rj61.807   2454780.127477     -5.90  1.077345   0.508    52629.0 
 89704 95735     j    rj61.808   2454780.129132     -3.92  1.051668   0.51     52689.0 
 89705 95735     j    rj61.809   2454780.130799     -2.61  0.998194   0.516    53203.0 
 89706 95735     j    rj63.836   2454808.163796      2.79  1.074135   0.59     54042.0 
 89707 95735     j    rj63.1112  2454809.131215      1.82  1.103222   0.515    54148.0 
 89708 95735     j    rj63.1365  2454810.027998      2.88  1.111435   0.499    52482.0 
 89709 95735     j    rj64.196   2454839.080382      0.00  1.116183   0.468    53204.0 
 89710 95735     j    rj66.192   2454865.107389      1.14  0.908047   0.526    52814.0 
 89711 95735     j    rj70.722   2454985.869533      0.68  0.990316   0.493    53542.0 
 89712 95735     j    rj72.731   2455016.800638     -4.28  0.939276   0.459    54004.0 
 89713 95735     j    rj82.474   2455198.035309      0.74  1.106071   0.474    55498.0 
 89714 95735     j    rj82.475   2455198.037033      0.96  1.114826   0.471    54994.0 
 89715 95735     j    rj82.476   2455198.038839     -0.09  1.087974   0.469    55466.0 
 89716 95735     j    rj89.96    2455311.79506      -9.01  1.131595   0.418    52751.0 
 89717 95735     j    rj89.97    2455311.797144     -6.53  1.065759   0.416    53090.0 
 89718 95735     j    rj89.98    2455311.799042     -9.64  1.032415   0.419    54203.0 
 89719 95735     j    rj89.338   2455312.861366     -7.90  0.837782   0.436    55131.0 
 89720 95735     j    rj89.339   2455312.862663     -9.02  0.866758   0.439    56204.0 
 89721 95735     j    rj89.340   2455312.863936     -9.01  0.871057   0.443    55053.0 
 89722 95735     j    rj89.597   2455313.76037      -5.85  0.921623   0.43     56353.0 
 89723 95735     j    rj89.598   2455313.761736     -4.35  0.854682   0.426    56408.0 
 89724 95735     j    rj89.599   2455313.762951     -6.53  0.823484   0.431    56288.0 
 89725 95735     j    rj89.910   2455314.789942     -8.10  1.006913   0.448    55733.0 
 89726 95735     j    rj89.911   2455314.791759     -8.46  1.035315   0.444    55039.0 
 89727 95735     j    rj89.912   2455314.793298     -7.44  0.923051   0.445    54565.0 
 89728 95735     j    rj90.493   2455319.879068     -2.79  1.062558   0.435    33255.0 
 89729 95735     j    rj90.494   2455319.883894     -1.95  0.85576    0.436    55228.0 
 89730 95735     j    rj90.495   2455319.886105     -2.01  0.913398   0.437    55333.0 
 89731 95735     j    rj844.139  2455339.828891     -5.46  1.008375   0.4799   88785.0 
 89732 95735     j    rj91.127   2455342.880408     -2.98  1.042494   0.503    55141.0 
 89733 95735     j    rj91.128   2455342.882005     -2.27  0.963848   0.499    54945.0 
 89734 95735     j    rj91.129   2455342.883521     -1.91  0.930647   0.502    55928.0 
 89735 95735     j    rj106.318  2455522.11724       0.02  0.867432   0.54     55719.0 
 89736 95735     j    rj106.319  2455522.118594     -0.10  0.954795   0.534    56295.0 
 89737 95735     j    rj106.320  2455522.119983     -0.62  0.929268   0.531    56373.0 
 89738 95735     j    rj116.458  2455635.03064      -2.95  1.013033   0.504    55683.0 
 89739 95735     j    rj118.428  2455671.919221     -0.24  1.028032   0.542    55323.0 
 89740 95735     j    rj121.94   2455722.765012     -0.82  0.945807   0.463    53885.0 
 89741 95735     j    rj122.655  2455728.768942     -4.77  0.884662   0.5094   55710.0 
 89742 95735     j    rj122.656  2455728.770365     -6.32  0.961398   0.5059   54755.0 
 89743 95735     j    rj122.657  2455728.771788     -5.01  1.03963    0.5102   54916.0 
 89744 95735     j    rj122.658  2455728.773235     -2.82  1.057864   0.5022   54848.0 
 89745 95735     j    rj122.659  2455728.774786     -5.86  0.993956   0.5022   55860.0 
 89746 95735     j    rj122.717  2455728.842315     -6.16  1.134876   0.485    55421.0 
 89747 95735     j    rj122.718  2455728.844445     -2.54  1.098734   0.49     56363.0 
 89748 95735     j    rj122.719  2455728.846968     -2.34  1.080405   0.5      55059.0 
 89749 95735     j    rj123.274  2455731.756922     -1.12  1.005684   0.492    54081.0 
 89750 95735     j    rj124.68   2455733.742542     -5.94  0.935254   0.507    54359.0 
 89751 95735     j    rj124.69   2455733.743977     -4.48  1.027759   0.506    54286.0 
