tel	time	mnvel	errvel
HIRES-post	2458508.995174	-2.27	1.076507
HIRES-post	2458508.996517	-3.74	1.004424
HIRES-post	2458510.070171	-1.7	1.020483
HIRES-post	2458510.074026	-1.6	1.070843
HIRES-post	2458510.077151	-4.66	1.074896
HIRES-post	2458532.959286	-2.95	1.075076
HIRES-post	2458532.960871	-4.15	0.92087
HIRES-post	2458532.962457	-2.77	0.963031
HIRES-post	2458559.91381	-3.13	1.053016
HIRES-post	2458559.915315	-4.1	1.001412
HIRES-post	2458559.916854	-4.65	1.034389
HIRES-post	2458568.807763	-1.65	0.987801
HIRES-post	2458568.809117	-3.71	1.013786
HIRES-post	2458568.810517	-3.49	1.00374
HIRES-post	2458569.815643	1.64	1.015522
HIRES-post	2458569.816893	1.2	0.979516
HIRES-post	2458569.818166	-1.26	0.956415
HIRES-post	2458584.921227	-1.56	1.018688
HIRES-post	2458584.924074	0.21	1.406408
HIRES-post	2458610.926524	-6.48	1.014871
HIRES-post	2458610.928005	-3.28	1.072256
HIRES-post	2458615.920209	-2.26	0.997798
HIRES-post	2458615.921598	-1.65	1.016806
HIRES-post	2458615.922998	0.1	0.956034
HIRES-post	2458796.158319	-1.18	1.05946
HIRES-post	2458796.159928	-1.46	1.029764
HIRES-post	2458796.161433	-1.16	1.040324
HIRES-post	2458919.041105	-3.17	1.052657
APF	2456505.689186	1.69	1.66454
APF	2456506.673181	2.42	1.582256
APF	2456735.937338	2.36	2.28985
APF	2456740.825596	5.89	2.543453
APF	2456740.919735	7.53	2.329976
APF	2456761.71314	3.13	2.300948
APF	2456938.040397	1.23	1.757792
APF	2456938.051	4.52	1.881
APF	2456942.034986	0.85	1.804528
APF	2456942.043899	0.72	1.712602
APF	2456971.00616	1.14	1.835435
APF	2456971.014482	0.64	1.877777
APF	2456972.916672	3.55	1.776076
APF	2456972.926939	1.55	1.8529
APF	2456988.972101	1.85	1.838715
APF	2456988.985539	0.52	1.932461
APF	2457016.054781	2.22	1.800275
APF	2457016.067247	3.03	1.890603
APF	2457027.056723	3.11	2.103833
APF	2457029.008716	-4.01	2.082108
APF	2457029.017848	-1.46	1.939741
APF	2457035.035939	-2.88	1.814789
APF	2457035.043174	-2.52	1.832174
APF	2457054.895809	-0.75	1.834722
APF	2457054.904478	0.67	1.70498
APF	2457123.798051	2.47	1.478051
APF	2457125.775675	2.77	1.711003
APF	2457140.766748	-1.56	1.672873
APF	2457142.728965	-3.29	1.716287
APF	2457143.690531	0.81	1.703412
APF	2457145.747632	-0.47	1.615818
APF	2457165.69917	-1.1	1.727786
APF	2457168.747007	2.98	1.484009
APF	2457170.698944	1.2	1.494268
APF	2457176.694988	0.32	1.712836
APF	2457176.717139	1.34	1.816618
APF	2457178.68049	-0.09	2.370189
APF	2457179.701086	4.17	2.567567
APF	2457179.737298	2.99	1.555062
APF	2457185.687737	2.78	1.779906
APF	2457187.706599	-0.86	1.699084
APF	2457188.689297	-2.53	1.421746
APF	2457189.696565	-1.8	1.695689
APF	2457191.691557	-0.99	1.68577
APF	2457193.6814	-0.02	2.658419
APF	2457193.684039	-0.9	2.592869
APF	2457195.689277	0.07	1.713304
APF	2457196.711468	0.32	1.866956
APF	2457202.711836	-1.55	2.61575
APF	2457202.714359	2.5	2.61356
APF	2457204.690273	1.39	1.738363
APF	2457207.688888	1.16	1.633753
APF	2457208.70794	2.01	2.116619
APF	2457211.712793	1.93	2.718503
APF	2457211.715767	-2.19	2.639522
APF	2457215.686324	-1.52	1.896485
APF	2457217.714309	-1.95	2.00296
APF	2457218.683734	3.04	1.792294
APF	2457220.680755	-3.47	2.875962
APF	2457220.683266	0.97	1.728411
APF	2457222.682688	0.68	2.172248
APF	2457224.70371	-2.79	2.1057
APF	2457226.678825	-3.82	1.804558
APF	2457227.677182	-2.06	1.890961
APF	2457229.699907	-2.04	2.059495
APF	2457232.675817	2.36	1.895714
APF	2457233.696809	-1.26	2.188264
APF	2457235.668591	-3.45	2.906382
APF	2457235.680859	-3.28	2.280939
APF	2457238.674038	-3.02	2.123373
APF	2457318.977472	-5.01	2.189596
APF	2457321.964403	0.32	1.99286
APF	2457325.973864	-4.04	2.380862
APF	2457330.960049	-8.8	2.325013
APF	2457332.942751	-3.96	2.116512
APF	2457334.905152	-3.1	1.850717
APF	2457340.894133	-3.5	1.661816
APF	2457347.884983	1.68	2.071278
APF	2457348.862883	-1.72	2.092385
APF	2457350.879626	2.19	2.46198
APF	2457354.854008	-0.98	2.643793
APF	2457354.861358	2.64	2.432528
APF	2457356.863828	-0.71	2.316696
APF	2457408.051655	1.31	1.843346
APF	2457408.06404	-2.14	1.812988
APF	2457413.9318	7.35	2.403781
APF	2457413.934428	-0.47	2.639369
APF	2457415.835416	1.7	1.739401
APF	2457424.936544	-0.31	1.743241
APF	2457426.950051	-3.21	1.758916
APF	2457429.960073	-2.41	1.516556
APF	2457432.957756	-2.06	1.981238
APF	2457439.924608	-3.67	1.818199
APF	2457441.847293	-4.38	2.9169
APF	2457441.850047	-5.27	2.936028
APF	2457443.878119	-3.47	1.549738
APF	2457446.876454	-4.37	1.603031
APF	2457449.912727	-0.53	1.705801
APF	2457465.852071	2.66	1.476348
APF	2457466.845308	0.77	1.498947
APF	2457471.71699	-0.86	2.363298
APF	2457471.835191	-1.35	1.714755
APF	2457473.724872	0.72	2.363938
APF	2457473.82327	1.5	1.905797
APF	2457478.753609	-3.1	2.626235
APF	2457478.756051	2.25	2.524406
APF	2457480.771599	-0.69	1.479096
APF	2457482.745965	1.2	2.429961
APF	2457482.761867	-1.39	1.690015
APF	2457483.645831	-6.08	2.539409
APF	2457483.648713	-3.74	2.67429
APF	2457495.695826	0.8	1.503351
APF	2457498.745454	-8.47	2.694982
APF	2457498.748011	-6.71	2.581237
APF	2457505.693071	1.43	2.666598
APF	2457507.707922	-0.69	2.055681
APF	2457524.740984	-2.13	2.5367
APF	2457524.743703	-0.42	2.58372
APF	2457525.673241	0.86	1.762904
APF	2457537.67582	2.02	1.488682
APF	2457549.726483	-2.76	1.979991
APF	2457558.705342	0.34	2.615812
APF	2457558.708096	-2.84	2.84653
APF	2457560.706483	-2.63	1.943448
APF	2457564.770158	-1.34	1.807654
APF	2457566.716521	2.01	2.202554
APF	2457569.688485	0.56	1.626917
APF	2457570.754152	1.26	2.05087
APF	2457571.715533	-0.21	1.889555
APF	2457573.689995	3.38	1.964138
APF	2457576.707161	2.55	2.669296
APF	2457576.710274	-1.17	2.781333
APF	2457581.695713	3.1	1.835002
APF	2457584.6836	4.81	2.054719
APF	2457586.681271	3.57	2.683966
APF	2457586.684107	-0.5	2.873179
APF	2457587.684066	-2.26	1.820991
APF	2457588.680289	1.23	1.675988
APF	2457591.684728	0.32	1.706121
APF	2457669.044339	-1.12	1.937348
APF	2457684.987078	-2.57	2.088175
APF	2457687.966081	-2.13	2.098846
APF	2457696.949266	-2.76	1.902779
APF	2457700.972155	-3.44	1.543679
APF	2457701.912907	-1.84	2.165532
APF	2457702.903247	-3.36	2.151473
APF	2457703.931195	-6.03	1.845329
APF	2457705.892397	-4.67	1.891388
APF	2457717.910629	-5.95	1.84252
APF	2457742.048035	-4.16	1.752818
APF	2457744.058855	-0.66	2.17832
APF	2457750.107943	-0.52	1.867083
APF	2457752.030526	-1.64	1.71614
APF	2457780.926892	-2.99	2.504657
APF	2457780.929438	-4.24	2.543815
APF	2457783.81615	-1.65	2.32956
APF	2457783.818685	-2.65	2.393746
APF	2457783.94531	-6.24	2.293591
APF	2457783.947845	-5.77	2.274571
APF	2457796.89569	-3.25	2.995117
APF	2457814.95494	1.94	1.747671
APF	2457815.883469	-0.51	1.800507
APF	2457821.85202	-4.15	1.904046
APF	2457823.77836	-2.06	2.580922
APF	2457823.780582	-4.62	2.318995
APF	2457824.838388	-3.55	1.880797
APF	2457838.805771	-5.07	2.653533
APF	2457838.808329	-4.64	2.66632
APF	2457845.794934	-3.27	1.781359
APF	2457847.73053	-5.52	2.472003
APF	2457847.732995	-2.95	2.512365
APF	2457858.654113	-0.5	2.697846
