 80780 75732     j    rj15.1981  2453752.972477    -39.79  1.05013    0.21    105708.0 
 80781 75732     j    rj15.1982  2453752.973507    -37.77  1.120672   0.211   104922.0 
 80782 75732     j    rj15.1983  2453752.974537    -38.75  1.106802   0.211   107801.0 
 80783 75732     j    rj15.2389  2453753.943067    -75.57  1.056526   0.209   102549.0 
 80784 75732     j    rj15.2390  2453753.944005    -74.93  1.072743   0.208   104435.0 
 80785 75732     j    rj15.2391  2453753.944965    -77.09  1.096132   0.21    106282.0 
 80786 75732     j    rj16.186   2453775.922373     17.87  0.976516   0.182   104317.0 
 80787 75732     j    rj16.187   2453775.923264     22.05  1.072878   0.184   108529.0 
 80788 75732     j    rj16.188   2453775.924155     21.44  1.024578   0.183   106020.0 
 80789 75732     j    rj16.609   2453776.939722     28.35  1.001906   0.183   105848.0 
 80790 75732     j    rj16.610   2453776.940625     28.88  1.134629   0.183   104949.0 
 80791 75732     j    rj16.611   2453776.941516     25.61  1.124909   0.183   107936.0 
 80792 75732     j    rj16.1129  2453778.018542     47.15  1.135689   0.185   103672.0 
 80793 75732     j    rj16.1130  2453778.020197     44.06  1.161838   0.186   103217.0 
 80794 75732     j    rj16.1131  2453778.021447     42.71  1.160078   0.187   101689.0 
 80795 75732     j    rj17.122   2453806.887361     47.45  1.37818    0.191   106563.0 
 80796 75732     j    rj17.123   2453806.88919      46.81  1.275112   0.191   106113.0 
 80797 75732     j    rj17.124   2453806.890671     48.63  1.362281   0.189   108538.0 
 80798 75732     j    rj18.177   2453837.797164     45.91  1.314146   0.193    22067.0 
 80799 75732     j    rj18.178   2453837.803785     43.89  1.405365   0.193    16332.0 
 80800 75732     j    rj18.179   2453837.81059      43.09  1.296677   0.193    39677.0 
 80801 75732     j    rj18.180   2453837.816562     44.79  0.985823   0.193    80872.0 
 80802 75732     j    rj18.634   2453841.800822    -71.36  1.054968   0.192    84572.0 
 80803 75732     j    rj18.635   2453841.801586    -71.36  1.097563   0.192    81610.0 
 80804 75732     j    rj18.636   2453841.802384    -70.01  1.123236   0.192    86912.0 
 80805 75732     j    rj26.203   2454083.97978      40.28  1.139284   0.2      72050.0 
 80806 75732     j    rj26.204   2454083.980694     41.80  1.198806   0.201    74959.0 
 80807 75732     j    rj26.205   2454083.981562     42.14  1.198176   0.2      74376.0 
 80808 75732     j    rj26.206   2454083.982465     43.21  1.166592   0.201    74514.0 
 80809 75732     j    rj26.207   2454083.98338      42.87  1.091155   0.2      74952.0 
 80810 75732     j    rj26.579   2454084.905104     59.19  1.298651   0.193    74146.0 
 80811 75732     j    rj26.580   2454084.906806     59.15  1.317047   0.196    75129.0 
 80812 75732     j    rj26.581   2454084.908299     56.77  1.373366   0.197    74608.0 
 80813 75732     j    rj26.582   2454084.90978      56.52  1.247879   0.195    75362.0 
 80814 75732     j    rj26.583   2454084.911042     56.75  1.278412   0.199    74390.0 
 80815 75732     j    rj26.642   2454085.120266     67.02  1.332073   0.198    75525.0 
 80816 75732     j    rj26.643   2454085.121366     66.66  1.303648   0.198    75848.0 
 80817 75732     j    rj26.644   2454085.122454     68.47  1.213818   0.198    76423.0 
 80818 75732     j    rj26.645   2454085.123426     67.15  1.178061   0.198    75642.0 
 80819 75732     j    rj26.646   2454085.124398     67.50  1.349406   0.198    75380.0 
 80820 75732     j    rj26.1025  2454086.100197     55.66  1.336396   0.197    74128.0 
 80821 75732     j    rj26.1026  2454086.101134     57.65  1.269666   0.198    74526.0 
 80822 75732     j    rj26.1027  2454086.10206      53.14  1.191768   0.197    76159.0 
 80823 75732     j    rj26.1028  2454086.102963     56.34  1.161529   0.197    74801.0 
 80824 75732     j    rj26.1029  2454086.103866     55.50  1.206498   0.198    75375.0 
 80825 75732     j    rj27.214   2454108.906863    -50.90  1.154188   0.206    72832.0 
 80826 75732     j    rj27.215   2454108.907685    -52.77  1.145354   0.205    70633.0 
 80827 75732     j    rj27.216   2454108.908565    -52.10  1.168784   0.206    73407.0 
 80828 75732     j    rj27.217   2454108.909421    -50.30  1.246433   0.206    72947.0 
 80829 75732     j    rj27.218   2454108.910231    -51.99  1.06518    0.206    71136.0 
 80830 75732     j    rj28.162   2454129.898843     61.00  1.230665   0.197    69206.0 
 80831 75732     j    rj28.163   2454129.899792     60.71  1.142988   0.197    70475.0 
 80832 75732     j    rj28.164   2454129.900706     61.05  1.242003   0.197    68929.0 
 80833 75732     j    rj28.165   2454129.901597     59.41  1.199895   0.197    71486.0 
 80834 75732     j    rj28.166   2454129.902488     61.13  1.184453   0.197    69296.0 
 80835 75732     j    rj28.580   2454130.943981     54.27  1.496079   0.196    27109.0 
 80836 75732     j    rj28.581   2454130.944826     52.49  1.408805   0.195    27634.0 
 80837 75732     j    rj28.582   2454130.945637     49.76  1.269357   0.196    68287.0 
 80838 75732     j    rj28.583   2454130.946574     52.25  1.230434   0.196    71246.0 
 80839 75732     j    rj28.584   2454130.9475       50.32  1.230041   0.196    69247.0 
 80840 75732     j    rj28.585   2454130.949444     46.36  1.263993   0.196    68624.0 
