# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      sophiecc
# Description of the table:        Cross-correlation functions
# Object:                          HD9826
# Display the fields:              seq,$link[objname],date,$link[slen],mask,ccf_offline,$field[rv],fwhm,span,maxcpp,contrast,lines,$link['view_head'],$link['get_ccf'],$link['view_ccf'],targetname,bjd
# Description of each column
# seq: ----------------- Sequence number
# $link[objname]: ------ Designation of the object
# date: ---------------- Observation date
# $link[slen]: --------- Length of the series
# mask: ---------------- Name of the mask
# ccf_offline: --------- Offline CCF
# $field[rv]: ---------- Radial velocity
# fwhm: ---------------- FWHM of the correlation peak
# span: ---------------- Bissector span
# maxcpp: -------------- Maximum number of counts per pixel
# contrast: ------------ Contrast of the CCF
# lines: --------------- Number of lines used for the CCF
# $link['view_head']: -- See the header of the cross-correlation file
# $link['get_ccf']: ---- Download the cross-correlation function FITS file
# $link['view_ccf']: --- View the cross-correlation function
# targetname: ---------- Target name provided by the observer
# bjd: ----------------- Barycentric Julian date
#---,--------------,----,-----------,----,-----------,--,---,----,----,------,--------,-----,------------------,----------------,-----------------,----------,---
seq,$link[objname],date,$link[slen],mask,ccf_offline,rv,err,fwhm,span,maxcpp,contrast,lines,$link['view_head'],$link['get_ccf'],$link['view_ccf'],targetname,bjd
1021370,HD009826,2010-09-05,   5,G2,0,-28.6177711486816,0.000999126,13.9896,-0.005,27162,21.8082,4760,view_head,get_ccf,view_ccf,HD9826,2455445.53225831
1644380,HD009826,2013-08-12,   5,G2,0,-28.6212539672852,0.00104539,14.0093,-0.0025,24243,21.7296,4759,view_head,get_ccf,view_ccf,HD9826,2456517.62911896
1647790,HD009826,2013-08-19,   6,G2,0,-28.5193786621094,0.00134901,13.9869,-0.00966667,14829,21.704,4758,view_head,get_ccf,view_ccf,HD9826,2456524.62644415
1647800,HD009826,2013-08-19,   6,G2,0,-28.5223121643066,0.00137493,13.9793,-0.0165,14260,21.686,4758,view_head,get_ccf,view_ccf,HD9826,2456524.62821513
1647780,HD009826,2013-08-19,   6,G2,0,-28.526216506958,0.00134253,13.9718,-0.0085,14931,21.7196,4758,view_head,get_ccf,view_ccf,HD9826,2456524.62468475
1647810,HD009826,2013-08-19,   6,G2,0,-28.5214099884033,0.00133577,13.9805,-0.0106667,15075,21.7051,4758,view_head,get_ccf,view_ccf,HD9826,2456524.62997453
1647820,HD009826,2013-08-19,   6,G2,0,-28.519603729248,0.00134021,13.9714,-0.00116667,14971,21.7108,4758,view_head,get_ccf,view_ccf,HD9826,2456524.63174551
1647240,HD009826,2013-08-18,   6,G2,0,-28.6213665008545,0.00125594,13.9835,-0.00433333,16908,21.7557,4758,view_head,get_ccf,view_ccf,HD9826,2456523.61028513
1647260,HD009826,2013-08-18,   6,G2,0,-28.621711730957,0.00124552,13.9786,-0.000666667,17232,21.7607,4758,view_head,get_ccf,view_ccf,HD9826,2456523.61337566
1630950,HD009826,2013-07-16,   1,G2,0,-28.6620788574219,0.000455489,14.0554,0.00716667,118841,21.7748,4759,view_head,get_ccf,view_ccf,HD9826,2456490.55919396
1647270,HD009826,2013-08-18,   6,G2,0,-28.6213817596436,0.00126073,13.9789,-0.00966667,16872,21.7648,4758,view_head,get_ccf,view_ccf,HD9826,2456523.61490356
1647770,HD009826,2013-08-19,   6,G2,0,-28.5239734649658,0.001461,13.9768,0.000833333,12666,21.6702,4758,view_head,get_ccf,view_ccf,HD9826,2456524.62291378
1661090,HD009826,2013-09-19,   2,G2,0,-28.6419639587402,0.000595946,14.0074,-0.00433333,74487,21.8878,4746,view_head,get_ccf,view_ccf,HD9826,2456555.5532967
1063730,HD009826,2010-11-24,   5,G2,0,-28.6051216125488,0.00164709,13.9667,-0.0121667,10247,21.6554,4697,view_head,get_ccf,view_ccf,HD9826,2455525.42782468
1722981,HD009826,2014-11-07,   4,G2,0,-28.5319080352783,0.000822741,13.9907,0.0133333,40077,21.9003,4712,view_head,get_ccf,view_ccf,HD9826,2456969.35741023
1723000,HD009826,2014-11-07,   4,G2,0,-28.5326728820801,0.000999097,13.9844,0.00483333,27545,21.8695,4712,view_head,get_ccf,view_ccf,HD9826,2456969.36304674
1722991,HD009826,2014-11-07,   4,G2,0,-28.5309963226318,0.000843035,13.9848,0.0095,38345,21.8998,4712,view_head,get_ccf,view_ccf,HD9826,2456969.36021113
2006650,HD009826,2016-07-29,   1,G2,0,-28.7870502471924,0.000799147,14.0081,0.000333333,41206,21.858,4759,view_head,get_ccf,view_ccf,HD9826,2457599.58413156
2055180,HD009826,2016-11-17,   1,G2,0,-28.6442737579346,0.000656071,13.966,-0.00416667,62955,22.0166,4704,view_head,get_ccf,view_ccf,HD9826,2457710.44494483
1018880,HD009826,2010-09-01,   5,G2,0,-28.694314956665,0.00092224,13.9975,0.00516667,32249,21.835,4760,view_head,get_ccf,view_ccf,HD9826,2455441.59188279
2368200,HD009826,2017-11-01,   1,G2,0,-28.5903911590576,0.000693531,13.9643,-0.00366667,55935,21.9525,4718,view_head,get_ccf,view_ccf,HD9826,2458059.48848803
1061190,HD009826,2010-11-22,   6,G2,0,-28.4526596069336,0.00217441,13.9658,-0.0118333,6115,21.449,4697,view_head,get_ccf,view_ccf,HD9826,2455523.49827425
1693740,HD009826,2013-11-16,   5,G2,0,-28.5686664581299,0.00113916,13.9838,-0.00166667,20807,21.7843,4704,view_head,get_ccf,view_ccf,HD9826,2456613.33695248
1062581,HD009826,2010-11-23,   5,G2,0,-28.5497627258301,0.00134509,13.9813,-0.0035,15290,21.7231,4697,view_head,get_ccf,view_ccf,HD9826,2455524.44893603
1699820,HD009826,2013-11-28,   1,G2,0,-28.6520290374756,0.000438148,14.0227,0.00233333,136536,21.9032,4693,view_head,get_ccf,view_ccf,HD9826,2456625.45655482
1693710,HD009826,2013-11-16,   5,G2,0,-28.5639305114746,0.00133043,13.985,-0.007,15241,21.7107,4704,view_head,get_ccf,view_ccf,HD9826,2456613.33167483
1693750,HD009826,2013-11-16,   5,G2,0,-28.5676097869873,0.00121281,13.9888,-0.00283333,18398,21.7667,4704,view_head,get_ccf,view_ccf,HD9826,2456613.33875799
1020720,HD009826,2010-09-04,   5,G2,0,-28.6142959594727,0.00144669,13.943,-0.00583333,13563,21.7613,4760,view_head,get_ccf,view_ccf,HD9826,2455444.59255076
1020020,HD009826,2010-09-03,   5,G2,0,-28.6719932556152,0.000858917,13.9813,0.006,36925,21.9074,4760,view_head,get_ccf,view_ccf,HD9826,2455443.60451726
1022230,HD009826,2010-09-08,   5,G2,0,-28.6136379241943,0.00121129,13.9758,0.00233333,19020,21.7701,4759,view_head,get_ccf,view_ccf,HD9826,2455448.52852964
1051690,HD009826,2010-09-30,   2,G2,0,-28.6618804931641,0.000506788,14.0043,0.003,101056,21.9676,4743,view_head,get_ccf,view_ccf,HD9826,2455470.61101903
1282890,HD009826,2011-12-23,   1,G2,0,-28.6778926849365,0.000790977,13.9902,0.00116667,42950,21.8578,4685,view_head,get_ccf,view_ccf,HD9826,2455919.37914538
1020700,HD009826,2010-09-04,   5,G2,0,-28.6150894165039,0.00125636,13.9433,-0.004,17838,21.8365,4760,view_head,get_ccf,view_ccf,HD9826,2455444.58896254
1062601,HD009826,2010-11-23,   5,G2,0,-28.5497608184814,0.00144913,13.9891,0.000166667,13220,21.6856,4697,view_head,get_ccf,view_ccf,HD9826,2455524.45250072
979380,HD009826,2010-07-15,   3,G2,0,-28.5690135955811,0.000993017,14.0195,0.00116667,26435,21.7315,4759,view_head,get_ccf,view_ccf,HD9826,2455393.6168838
1022240,HD009826,2010-09-08,   5,G2,0,-28.6137790679932,0.00124511,13.978,0.00516667,18057,21.7509,4759,view_head,get_ccf,view_ccf,HD9826,2455448.53030059
989760,HD009826,2010-07-29,   1,G2,0,-28.5440483093262,0.000779341,13.9754,-0.00566667,44580,21.8972,4762,view_head,get_ccf,view_ccf,HD9826,2455407.60076097
1018860,HD009826,2010-09-01,   5,G2,0,-28.6908950805664,0.000904545,14.0045,-0.000166667,33640,21.8337,4760,view_head,get_ccf,view_ccf,HD9826,2455441.58830614
1061200,HD009826,2010-11-22,   6,G2,0,-28.4595909118652,0.0021908,13.9722,-0.00733333,6038,21.4548,4697,view_head,get_ccf,view_ccf,HD9826,2455523.49968624
190160,HD009826,2006-11-29,   7,G2,0,-28.4858474731445,,13.956,,26920,22.1012,4693,view_head,get_ccf,view_ccf,Ups_And,2454069.42593525
190130,HD009826,2006-11-29,  62,G2,0,-28.5030212402344,,13.9535,,18216,22.0097,4693,view_head,get_ccf,view_ccf,Ups_And,2454069.41944248
