 95641 gl687     j    rj72.493   2455016.034709      4.48  0.880685   0.669    50900.0 
 95642 gl687     j    rj820.191  2455022.083523     -8.08  1.031613   0.628    60371.0 
 95643 gl687     j    rj821.175  2455023.039597     -7.88  1.012414   0.649    60904.0 
 95644 gl687     j    rj821.176  2455023.047189     -7.76  1.001642   0.6374   50371.0 
 95645 gl687     j    rj823.115  2455024.818655     -2.52  0.828286   0.6727   81265.0 
 95646 gl687     j    rj823.116  2455024.825611     -0.06  0.7823     0.6722   81324.0 
 95647 gl687     j    rj825.123  2455049.822416      6.43  0.925309   0.0      81210.0 
 95648 gl687     j    rj825.124  2455049.828967      5.57  0.908253   0.0      81172.0 
 95649 gl687     j    rj826.131  2455050.858064      2.34  0.909915   0.6304   61303.0 
 95650 gl687     j    rj827.122  2455051.771756     -0.69  1.074054   0.6204   68189.0 
 95651 gl687     j    rj828.129  2455052.779418     -0.91  1.068546   0.6086   68104.0 
 95652 gl687     j    rj829.115  2455143.692287    -12.43  1.508314   0.6013   28281.0 
 95653 gl687     j    rj833.112  2455167.700113     -3.98  1.265234   0.6043   66218.0 
 95654 gl687     j    rj833.113  2455167.707498     -4.70  1.254199   0.5756   60443.0 
 95655 gl687     j    rj839.187  2455259.118839     -2.98  0.929615   0.579    68377.0 
 95656 gl687     j    rj840.195  2455260.144613     -3.03  0.877584   0.5724   85952.0 
 95657 gl687     j    rj849.150  2455371.987563      2.28  0.867709   0.608    83970.0 
 95658 gl687     j    rj849.151  2455371.994855      4.45  0.838575   0.5931   84328.0 
 95659 gl687     j    rj850.3    2455407.950349     -6.99  0.892746   0.6323   70892.0 
 95660 gl687     j    rj850.4    2455407.957815     -3.78  0.860144   0.6309   78099.0 
 95661 gl687     j    rj854.106  2455463.714297     15.97  1.044047   0.673    84396.0 
 95662 gl687     j    rj854.107  2455463.720455     13.51  1.052966   0.6758   84272.0 
 95663 gl687     j    rj856.106  2455516.691943     -4.26  1.214863   0.6799   43192.0 
 95664 gl687     j    rj856.107  2455516.699166     -3.96  1.31175    0.6676   33690.0 
 95665 gl687     j    rj858.111  2455518.721849     -4.83  1.198201   0.7313   70587.0 
 95666 gl687     j    rj865.151  2455609.131382      1.63  1.023603   0.58     41187.0 
 95667 gl687     j    rj865.152  2455609.138616      4.26  1.046421   0.5804   42166.0 
 95668 gl687     j    rj116.993  2455637.090498     -5.45  0.93105    0.701    47769.0 
 95669 gl687     j    rj866.226  2455638.117995      1.63  0.921994   0.689    43269.0 
 95670 gl687     j    rj866.227  2455638.125784     -1.15  0.893057   0.683    55594.0 
 95671 gl687     j    rj867.186  2455639.139786      0.31  0.910527   0.674    42682.0 
 95672 gl687     j    rj867.187  2455639.146649      1.37  0.825136   0.6748   71955.0 
 95673 gl687     j    rj870.197  2455665.041933      2.16  0.983383   0.6133   85514.0 
 95674 gl687     j    rj870.198  2455665.048623      1.43  0.947486   0.6222   85735.0 
 95675 gl687     j    rj871.214  2455670.078148     -5.75  1.007371   0.6309   83958.0 
 95676 gl687     j    rj871.215  2455670.085151     -4.20  0.959582   0.6355   83995.0 
 95677 gl687     j    rj873.182  2455721.056783      2.33  1.067271   0.6363   43437.0 
 95678 gl687     j    rj878.139  2455825.831683     -8.73  1.174355   0.7145   55277.0 
 95679 gl687     j    rj880.117  2455840.743913      3.80  1.195476   0.6011   79247.0 
 95680 gl687     j    rj880.118  2455840.751251      3.80  1.227304   0.5943   78144.0 
 95681 gl687     j    rj891.145  2456027.097907      7.19  1.027204   0.6364   41688.0 
 95682 gl687     j    rj892.140  2456116.934579      7.85  0.991586   0.5994   55610.0 
 95683 gl687     j    rj892.141  2456116.94187       7.17  1.010141   0.6054   53290.0 
 95684 gl687     j    rj893.133  2456117.902041      3.95  0.966533   0.5785   59911.0 
 95685 gl687     j    rj893.134  2456117.909646      4.58  0.975363   0.5769   61031.0 
 95686 gl687     j    rj901.222  2456329.167473     -2.34  1.117801   0.6616   62251.0 
 95687 gl687     j    rj904.125  2456432.888015     -7.18  1.060702   0.603    51374.0 
 95688 gl687     j    rj904.126  2456432.895388     -8.25  1.03401    0.5964   65289.0 
 95689 gl687     j    rj905.172  2456433.930672     -7.22  1.108964   0.6032   57539.0 
 95690 gl687     j    rj905.173  2456433.937802     -6.76  1.159144   0.6151   59785.0 
 95691 gl687     j    rj906.132  2456548.850944     -9.58  1.153713   0.5642   80466.0 
 95692 gl687     j    rj906.133  2456548.85827      -9.60  1.213824   0.562    65743.0 
 95693 gl687     j    rj907.131  2456549.78987      -6.35  1.059148   0.5847   84217.0 
 95694 gl687     j    rj907.132  2456549.796687     -6.18  1.048883   0.5752   84369.0 
 95695 gl687     j    rj908.118  2456550.848519     -8.03  1.151074   0.569    76094.0 
 95696 gl687     j    rj909.112  2456551.72013      -9.76  1.207912   0.5971   78786.0 
 95697 gl687     j    rj909.113  2456551.727815     -9.00  1.258275   0.5893   76278.0 
 95698 gl687     j    rj290.776  2458266.998672      1.94  1.123435   0.6283   26977.0
