HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD39091,2458467.75956,21.10,1.10,PFS-Post,0.1633,0.00033,-1.0000,-1.0000,rn48.157
HD39091,2458467.76119,15.65,1.08,PFS-Post,0.1635,0.00045,-1.0000,-1.0000,rn48.158
HD39091,2458467.76287,20.01,1.06,PFS-Post,0.1613,0.00042,-1.0000,-1.0000,rn48.159
HD39091,2458467.76452,18.93,1.12,PFS-Post,0.1609,0.00039,-1.0000,-1.0000,rn48.160
HD39091,2458467.76618,18.72,1.03,PFS-Post,0.1597,0.00038,-1.0000,-1.0000,rn48.161
HD39091,2458467.81692,19.34,1.02,PFS-Post,0.1733,0.00077,-1.0000,-1.0000,rn48.168
HD39091,2458467.81855,16.33,1.12,PFS-Post,0.1704,0.00076,-1.0000,-1.0000,rn48.169
HD39091,2458467.82022,19.55,1.08,PFS-Post,0.1738,0.00078,-1.0000,-1.0000,rn48.170
HD39091,2458467.82188,18.40,1.06,PFS-Post,0.1677,0.00059,-1.0000,-1.0000,rn48.171
HD39091,2458467.82353,19.51,1.02,PFS-Post,0.1627,0.00055,-1.0000,-1.0000,rn48.172
HD39091,2458468.78275,19.53,1.06,PFS-Post,0.1634,0.0005,-1.0000,-1.0000,rn48.444
HD39091,2458468.78440,17.67,1.04,PFS-Post,0.1663,0.00056,-1.0000,-1.0000,rn48.445
HD39091,2458468.78605,19.41,1.00,PFS-Post,0.1650,0.00057,-1.0000,-1.0000,rn48.446
HD39091,2458468.78774,18.56,1.06,PFS-Post,0.1693,0.00069,-1.0000,-1.0000,rn48.447
HD39091,2458468.78939,17.65,1.04,PFS-Post,0.1635,0.00044,-1.0000,-1.0000,rn48.448
HD39091,2458468.82576,18.40,1.07,PFS-Post,0.1600,0.00038,-1.0000,-1.0000,rn48.452
HD39091,2458468.82744,18.07,1.03,PFS-Post,0.1616,0.00044,-1.0000,-1.0000,rn48.453
HD39091,2458468.82910,16.55,1.03,PFS-Post,0.1627,0.00049,-1.0000,-1.0000,rn48.454
HD39091,2458468.83075,17.88,1.10,PFS-Post,0.1624,0.00054,-1.0000,-1.0000,rn48.455
HD39091,2458468.83240,19.22,1.02,PFS-Post,0.1641,0.00059,-1.0000,-1.0000,rn48.456
HD39091,2458469.64809,14.03,1.11,PFS-Post,0.1653,0.00044,-1.0000,-1.0000,rn48.719
