HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD39091,2455170.23398,-70.32,4.72,UCLES,-1.0000,-1.0000,0.7261,0.0062,rw03.47
HD39091,2455170.23896,-62.70,2.64,UCLES,-1.0000,-1.0000,0.7316,0.0035,rw03.48
HD39091,2455170.24318,-53.66,2.96,UCLES,-1.0000,-1.0000,0.7291,0.004,rw03.49
HD39091,2455170.24741,-58.61,3.25,UCLES,-1.0000,-1.0000,0.7259,0.0042,rw03.50
HD39091,2455202.04944,-62.17,3.11,UCLES,-1.0000,-1.0000,0.7282,0.0043,rw04.269
HD39091,2455202.05418,-57.31,3.32,UCLES,-1.0000,-1.0000,0.7254,0.0045,rw04.270
HD39091,2455202.06004,-58.94,3.64,UCLES,-1.0000,-1.0000,0.7266,0.0045,rw04.271
HD39091,2455252.96313,-79.85,2.28,UCLES,-1.0000,-1.0000,0.7286,0.0027,rw06.33
HD39091,2455252.96918,-76.94,2.33,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw06.34
HD39091,2455252.97513,-74.12,2.23,UCLES,-1.0000,-1.0000,0.7256,0.0028,rw06.35
HD39091,2455521.19190,-97.20,2.98,UCLES,-1.0000,-1.0000,0.7268,0.0034,rw13.598
HD39091,2455521.19944,-98.64,2.71,UCLES,-1.0000,-1.0000,0.7320,0.0031,rw13.599
HD39091,2455521.20757,-104.37,2.60,UCLES,-1.0000,-1.0000,0.7250,0.0033,rw13.600
HD39091,2455585.98174,-86.30,2.70,UCLES,-1.0000,-1.0000,0.7295,0.0032,rw14.483
HD39091,2455585.99678,-95.62,4.06,UCLES,-1.0000,-1.0000,0.7296,0.0057,rw14.484
HD39091,2455586.00774,-92.53,2.60,UCLES,-1.0000,-1.0000,0.7309,0.0032,rw14.485
HD39091,2455664.85403,-103.60,2.82,UCLES,-1.0000,-1.0000,0.7293,0.0034,rw16.245
HD39091,2455664.85792,-97.44,2.52,UCLES,-1.0000,-1.0000,0.7248,0.003,rw16.246
HD39091,2455664.86215,-98.46,2.39,UCLES,-1.0000,-1.0000,0.7285,0.0029,rw16.247
HD39091,2455846.24794,-105.54,2.75,UCLES,-1.0000,-1.0000,0.7201,0.0037,rw21.463
HD39091,2455846.25144,-97.18,2.59,UCLES,-1.0000,-1.0000,0.7255,0.0037,rw21.464
HD39091,2455846.25502,-106.40,2.55,UCLES,-1.0000,-1.0000,0.7258,0.0035,rw21.465
HD39091,2455898.10075,-102.97,2.25,UCLES,-1.0000,-1.0000,0.7320,0.0026,rw23.84
HD39091,2455898.10842,-101.02,2.24,UCLES,-1.0000,-1.0000,0.7289,0.0026,rw23.85
HD39091,2455898.11608,-102.35,2.19,UCLES,-1.0000,-1.0000,0.7295,0.0026,rw23.86
HD39091,2455899.13264,-105.54,2.13,UCLES,-1.0000,-1.0000,0.7273,0.0023,rw23.283
HD39091,2455899.14036,-102.07,2.07,UCLES,-1.0000,-1.0000,0.7286,0.0023,rw23.284
HD39091,2455961.99671,-89.63,2.71,UCLES,-1.0000,-1.0000,0.7240,0.0035,rw24.295
HD39091,2455962.00061,-98.36,2.55,UCLES,-1.0000,-1.0000,0.7308,0.0031,rw24.296
HD39091,2455962.00483,-87.19,2.47,UCLES,-1.0000,-1.0000,0.7295,0.0029,rw24.297
HD39091,2455962.00907,-89.38,2.47,UCLES,-1.0000,-1.0000,0.7292,0.0029,rw24.298
HD39091,2455964.98886,-109.31,3.30,UCLES,-1.0000,-1.0000,0.7276,0.0041,rw24.979
HD39091,2455965.04282,-93.01,2.78,UCLES,-1.0000,-1.0000,0.7261,0.0034,rw24.980
HD39091,2455965.04925,-88.38,2.43,UCLES,-1.0000,-1.0000,0.7338,0.0031,rw24.981
HD39091,2455965.05577,-85.74,2.69,UCLES,-1.0000,-1.0000,0.7289,0.0034,rw24.982
HD39091,2455966.97710,-93.63,3.23,UCLES,-1.0000,-1.0000,0.7265,0.0041,rw24.1274
HD39091,2455966.98120,-87.92,3.15,UCLES,-1.0000,-1.0000,0.7304,0.0042,rw24.1275
