Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-06-01T06:35:32.270,2,0.0021131388451199207,0.9468022234828367,FoVP,-0.3887288283074605,0.7259215523513931,2457540.7791810906
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-06-01T08:22:06.462,5,1.674671405229318E-5,0.9515873452663157,FoVF,-0.39267679263214095,0.7246516711195914,2457540.853182143
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-06-01T12:35:46.580,6,-0.0051258897704422645,0.9629086711942584,FoVP,-0.4020160825315762,0.7215668731067535,2457541.0293270987
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-07-10T23:58:29.861,2,0.0024257584102192736,-0.3980463621143405,FoVP,0.7257651829828671,0.724644527649377,2457580.4998229984
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-22T01:11:09.321,1,0.005764739781958723,0.6696062338996146,FoVF,-0.269035146213656,0.7174326131358344,2457622.5465156864
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-22T05:24:49.545,1,0.00385063828433122,0.6572522010935926,FoVP,-0.2598045957003234,0.7186787602514947,2457622.7226627655
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-22T07:11:23.816,3,0.0031032669507262823,0.6520532969261827,FoVF,-0.25592306164098344,0.719167317805448,2457622.796665124
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-22T11:25:03.932,3,0.0014587685465604185,0.6396593892218966,FoVP,-0.24667733850377008,0.7202462910765446,2457622.9728110135
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-22T13:11:38.162,4,8.241403652032459E-4,0.6344450366132484,FoVF,-0.24279092735166907,0.7206641262632331,2457623.0468129097
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-22T17:25:18.187,4,-5.533069602814654E-4,0.6220174156599496,FoVP,-0.23353719774365223,0.7215737190439883,2457623.2229577904
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-22T19:11:52.382,5,-0.0010763129841453768,0.616790169437611,FoVF,-0.22964894642581996,0.7219199962693024,2457623.296959301
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-22T23:25:32.331,5,-0.0021894905051952833,0.6043348322122708,FoVP,-0.22039448755218075,0.7226584356834637,2457623.4731033547
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-23T01:12:06.497,6,-0.002602089243736555,0.5990971752516785,FoVF,-0.21650746909275453,0.7229325002977147,2457623.547104556
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-23T05:25:46.386,5,-0.003453995770735955,0.5866199410908649,FoVP,-0.2072596198739641,0.7234984404121658,2457623.7232479653
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-23T07:12:20.530,7,-0.003757490966284216,0.5813742790336169,FoVF,-0.20337692344539413,0.723699815334561,2457623.797248935
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-23T11:26:00.375,6,-0.0043513307532228075,0.5688807774831562,FoVP,-0.19414303629263632,0.724092328174803,2457623.9733918817
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-23T13:12:34.504,7,-0.004547109871477307,0.5636294338172179,FoVF,-0.19026774638813407,0.7242207097554999,2457624.0473926947
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-23T17:26:14.320,6,-0.004886280226874559,0.5511250933825826,FoVP,-0.1810551404925617,0.724439274289221,2457624.223535361
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-23T23:26:28.243,6,-0.005063887874006573,0.5333603427861013,FoVP,-0.16800623487403898,0.7245390164608771,2457624.4736786587
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-24T05:26:42.166,6,-0.0048894381847231425,0.5155936683407742,FoVP,-0.1550064596934851,0.724391834368895,2457624.723822028
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-24T07:13:16.289,7,-0.004771151809930715,0.5103383339026163,FoVF,-0.15117157182054247,0.7243010679069862,2457624.7978228247
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-24T11:26:56.111,6,-0.004368438227992959,0.4978318895058111,FoVP,-0.1420657360681838,0.7239985270101819,2457624.9739657165
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-24T13:13:30.243,7,-0.004148716742088171,0.49257926179865436,FoVF,-0.13825018063854125,0.7238351748685012,2457625.047966655
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-24T17:27:10.098,5,-0.0035065993915439093,0.4800814922741382,FoVP,-0.1291937131079532,0.7233603880737564,2457625.224109969
