#RESOURCE=yCat_17590019
#Name: J/ApJ/759/19
#Title: Precise radial velocities of {rho}^1^ Cancri (Endl+, 2012)
#INFO ivoid=ivo://cds.vizier/j/apj/759/19     IVOID of underlying data collection     
#INFO creator=Endl M.     First author or institution     
#INFO cites=bibcode:2012ApJ...759...19E     Article or Data origin sources     
#INFO editor=Astrophysical Journal (AAS)     Editor name (article)     
#INFO original_date=2012     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/759/19     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.17590019     Dataset identifier that can be used for citation     
#INFO publication_date=2017-06-29     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_ApJ_759_19_table1:
#Name: J/ApJ/759/19/table1
#Title: Precise radial velocity results
#---Details of Columns:
    BJD (d)      (F12.6) Barycentric Julian Date; (BJD-2400000) [ucd=time.epoch]
    RVel (m/s)   (F10.3) [-22682.7/28445.6] Differential radial velocity [ucd=phys.veloc;pos.heliocentric]
    e_RVel (m/s) (F5.2)  [1/11.8] Error in RVel [ucd=stat.error;spect.dopplerVeloc]
    Tel          (A9)    Telescope/Spectrograph combination used (1) [ucd=instr.setup]
------------ ---------- ----- ---------
                        e_             
                        RVel           
BJD (d)      RVel (m/s) (m/s) Tel      
------------ ---------- ----- ---------
55641.632709 -22539.060  2.72 HJST/Tull
55641.637309 -22531.930  2.16 HJST/Tull
55641.642141 -22536.849  3.58 HJST/Tull
55641.646742 -22541.180  2.08 HJST/Tull
55641.651340 -22538.479  5.57 HJST/Tull
55641.656430 -22543.819  4.78 HJST/Tull
55641.661029 -22538.020  5.84 HJST/Tull
55641.665627 -22536.909  3.10 HJST/Tull
55641.670721 -22549.549  4.86 HJST/Tull
55641.675319 -22538.049  2.00 HJST/Tull
55641.679918 -22531.819  2.66 HJST/Tull
55641.685062 -22545.069  2.41 HJST/Tull
55641.689663 -22542.009  4.08 HJST/Tull
55641.694259 -22541.840  2.52 HJST/Tull
55641.699305 -22549.159  1.13 HJST/Tull
55641.703905 -22545.700  1.84 HJST/Tull
55641.708506 -22545.259  3.25 HJST/Tull
55641.827147 -22556.240  2.85 HJST/Tull
55641.833505 -22551.110  4.30 HJST/Tull
55641.839274 -22551.639  9.66 HJST/Tull
55641.844728 -22547.490 10.06 HJST/Tull
55643.616997 -22592.630  2.81 HJST/Tull
55643.715054 -22592.939  1.36 HJST/Tull
55643.861238 -22603.250  3.25 HJST/Tull
55644.661036 -22615.209  2.62 HJST/Tull
55644.744627 -22617.830  4.45 HJST/Tull
55644.838948 -22624.779  2.35 HJST/Tull
55645.627074 -22631.849  3.10 HJST/Tull
55645.731906 -22621.310  2.45 HJST/Tull
55645.836175 -22619.959  3.43 HJST/Tull
55646.605849 -22611.569  1.47 HJST/Tull
55646.707865 -22606.369  2.20 HJST/Tull
55647.618541 -22599.520  3.00 HJST/Tull
55647.680105 -22595.580  4.41 HJST/Tull
55647.791965 -22599.419  3.58 HJST/Tull
55648.639680 -22568.150  2.49 HJST/Tull
55648.743429 -22563.729  2.14 HJST/Tull
55665.607984 -22504.979  1.97 HJST/Tull
55667.654570 -22479.169  2.87 HJST/Tull
55668.597001 -22472.200  2.75 HJST/Tull
55669.592611 -22495.259  2.06 HJST/Tull
55669.754753 -22490.389  2.25 HJST/Tull
55670.610068 -22528.479  3.33 HJST/Tull
55670.685177 -22528.259  2.33 HJST/Tull
55670.771735 -22527.069  3.43 HJST/Tull
55671.597500 -22549.259  1.68 HJST/Tull
55671.779995 -22548.659  2.04 HJST/Tull
55698.604897 -22487.110  3.52 HJST/Tull
55698.686988 -22488.380  3.27 HJST/Tull
55699.602043 -22497.909  2.04 HJST/Tull
55700.642611 -22534.330  1.72 HJST/Tull
55701.605090 -22570.159  1.96 HJST/Tull
55702.615183 -22584.229  2.41 HJST/Tull
55702.664048 -22584.290  2.06 HJST/Tull
55703.622600 -22610.830  1.97 HJST/Tull
55703.686633 -22617.180  2.58 HJST/Tull
55704.624134 -22608.180  2.39 HJST/Tull
55704.681642 -22606.369  2.75 HJST/Tull
55722.613449 -22556.470  3.68 HJST/Tull
55723.608083 -22540.000  3.75 HJST/Tull
55723.615017 -22538.909  2.41 HJST/Tull
55724.610188 -22501.540  3.83 HJST/Tull
55727.616064 -22489.090  1.27 HJST/Tull
55728.617093 -22515.720  2.35 HJST/Tull
55872.012384 -22487.490  2.73 HJST/Tull
55874.001481 -22494.409  2.27 HJST/Tull
55874.016471 -22494.110  1.40 HJST/Tull
55876.985447 -22566.479  3.08 HJST/Tull
55876.993500 -22563.500  2.16 HJST/Tull
55960.907740 -22486.099  2.08 HJST/Tull
55964.676438 -22561.909  2.64 HJST/Tull
55964.803268 -22554.180  3.10 HJST/Tull
55964.928255 -22557.150  2.71 HJST/Tull
55965.680263 -22582.529  1.97 HJST/Tull
55966.686050 -22615.419  3.35 HJST/Tull
55966.846982 -22606.029  1.71 HJST/Tull
55967.704882 -22607.970  2.14 HJST/Tull
55967.814818 -22614.360  2.20 HJST/Tull
55968.707304 -22624.709  2.72 HJST/Tull
55968.799661 -22609.110  2.64 HJST/Tull
55968.912886 -22621.860  2.47 HJST/Tull
55987.687231 -22525.110  3.31 HJST/Tull
55987.695797 -22527.189  2.35 HJST/Tull
55987.704845 -22524.169  2.35 HJST/Tull
55987.795348 -22524.279  1.62 HJST/Tull
55987.804664 -22526.680  3.58 HJST/Tull
55988.632742 -22505.479  2.25 HJST/Tull
55988.642528 -22509.340  1.58 HJST/Tull
55988.822835 -22514.299  2.75 HJST/Tull
55988.832031 -22508.500  2.87 HJST/Tull
55989.653480 -22499.209  2.60 HJST/Tull
55989.664852 -22502.409  3.66 HJST/Tull
55989.760474 -22492.709  2.14 HJST/Tull
55989.771997 -22494.580  2.79 HJST/Tull
55990.666473 -22494.159  3.89 HJST/Tull
55990.674841 -22496.270  1.47 HJST/Tull
55990.807159 -22504.779  2.35 HJST/Tull
55990.815072 -22504.470  2.77 HJST/Tull
55991.661645 -22521.290  2.25 HJST/Tull
55991.669499 -22524.930  2.33 HJST/Tull
55991.848536 -22515.569  1.22 HJST/Tull
55991.856181 -22524.360  2.35 HJST/Tull
56014.729191 -22587.919  3.72 HJST/Tull
56015.713426 -22551.180  1.67 HJST/Tull
56016.670332 -22530.029  3.54 HJST/Tull
56016.680432 -22535.139  1.49 HJST/Tull
56016.689073 -22535.119  2.85 HJST/Tull
56017.663791 -22501.520  2.25 HJST/Tull
56017.671790 -22498.240  2.14 HJST/Tull
56018.761743 -22487.240  2.83 HJST/Tull
56019.689191 -22492.340  1.97 HJST/Tull
56020.793130 -22494.540  3.74 HJST/Tull
56020.805254 -22496.979  3.81 HJST/Tull
56021.668082 -22508.119  2.79 HJST/Tull
56022.700575 -22553.860  3.24 HJST/Tull
56024.624275 -22601.540  2.20 HJST/Tull
56025.735695 -22639.259  3.22 HJST/Tull
56048.609414 -22498.209  3.24 HJST/Tull
56048.704947 -22497.259  1.51 HJST/Tull
56049.596761 -22492.799  3.77 HJST/Tull
56049.720217 -22497.720  3.04 HJST/Tull
56050.669371 -22523.369  2.89 HJST/Tull
56051.661389 -22540.849  2.39 HJST/Tull
56052.601870 -22564.840  3.23 HJST/Tull
56053.643293 -22604.909  2.56 HJST/Tull
56053.695529 -22606.490  2.50 HJST/Tull
56054.597629 -22610.209  3.02 HJST/Tull
