Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
57416,22049,apf,ramf.281,2457325.915758,4.48,2.390451,-1,11866.0
57417,22049,apf,ramf.282,2457325.916742,6.15,2.384692,-1,12384.0
57418,22049,apf,ramf.283,2457325.91768,-0.88,2.329004,-1,14208.0
57419,22049,apf,ramh.187,2457330.887003,11.09,2.333098,-1,13498.0
57420,22049,apf,ramh.188,2457330.887941,13.10,2.367326,-1,13266.0
57421,22049,apf,ramh.189,2457330.88889,9.91,2.391144,-1,12422.0
57422,22049,apf,rami.273,2457332.854738,12.15,2.333365,-1,18640.0
57423,22049,apf,rami.274,2457332.855548,6.66,2.183727,-1,18904.0
57424,22049,apf,rami.275,2457332.856359,11.79,2.091915,-1,18364.0
57425,22049,apf,ramj.270,2457334.829319,7.77,2.21792,-1,17506.0
57426,22049,apf,ramj.271,2457334.830013,6.21,2.216659,-1,19100.0
57427,22049,apf,ramj.272,2457334.830708,4.04,2.255446,-1,16833.0
57428,22049,apf,raml.214,2457337.788291,4.54,2.68698,-1,8176.0
57429,22049,apf,raml.215,2457337.789102,8.27,2.866152,-1,8239.0
57430,22049,apf,raml.216,2457337.7899,5.82,2.671811,-1,8295.0
57431,22049,apf,ramm.262,2457340.809241,4.56,2.248581,-1,16925.0
57432,22049,apf,ramm.263,2457340.809923,-5.34,2.134159,-1,17716.0
57433,22049,apf,ramm.264,2457340.810618,-3.03,1.96896,-1,18677.0
57434,22049,apf,ramp.237,2457347.794866,6.80,2.363544,-1,16611.0
57435,22049,apf,ramp.238,2457347.795676,3.99,2.224935,-1,17115.0
57436,22049,apf,ramp.239,2457347.796475,3.75,2.13973,-1,16666.0
57437,22049,apf,ramq.234,2457348.779108,1.98,2.312456,-1,19877.0
57438,22049,apf,ramq.235,2457348.779872,5.33,2.103684,-1,19582.0
57439,22049,apf,ramq.236,2457348.780647,9.51,2.108649,-1,20111.0
57440,22049,apf,ramr.229,2457350.798524,6.10,2.077071,-1,18494.0
57441,22049,apf,ramr.230,2457350.799357,8.54,2.111386,-1,16403.0
57442,22049,apf,ramr.231,2457350.800191,4.73,2.111154,-1,16203.0
57443,22049,apf,ramu.212,2457354.705281,-2.38,2.904449,-1,6523.0
57444,22049,apf,ramu.213,2457354.706114,-0.05,2.858319,-1,7483.0
57445,22049,apf,ramu.214,2457354.706924,0.05,2.714433,-1,7838.0
57446,22049,apf,ramx.181,2457361.719081,16.92,2.316837,-1,8966.0
57447,22049,apf,ramx.182,2457361.719834,19.49,2.384748,-1,9588.0
