Name,BJD,RV,e_RV,S,H,Count,Exp,Nrv
HD219134,2455515.97448,-5.52,1.10,0.2685,0.03701,79499,28,335
HD219134,2455515.97535,-6.28,1.26,0.2468,0.03705,78086,32,335
HD219134,2455515.97623,-6.11,1.07,0.2536,0.03704,77215,31,335
HD219134,2455516.79425,-0.89,1.22,0.2388,0.03708,76478,19,335
HD219134,2455516.79509,-1.88,1.22,0.2442,0.03700,77693,19,335
HD219134,2455516.79583,-4.97,1.34,0.2400,-1.00000,78439,19,335
HD219134,2455516.79656,-4.53,1.08,0.2350,0.03707,80255,20,335
HD219134,2455516.79732,-2.23,1.19,0.2357,0.03708,79914,21,335
HD219134,2455517.92540,0.91,1.11,0.2431,0.03695,80394,21,335
HD219134,2455517.92615,0.76,1.03,0.2560,0.03703,78902,20,335
HD219134,2455517.92689,1.23,1.00,0.2587,0.03704,78230,20,335
HD219134,2455517.92764,2.07,1.00,0.2525,0.03698,77818,19,335
HD219134,2455517.92838,1.70,1.09,0.2594,0.03705,80480,20,335
HD219134,2455542.67917,-3.92,1.21,0.2431,0.03689,48967,12,335
HD219134,2455544.67785,-0.74,1.01,0.2395,0.03691,49423,14,335
HD219134,2455549.70399,-3.38,0.98,0.2555,0.03708,77153,40,335
HD219134,2455549.70504,-2.08,1.19,0.2556,0.03705,76613,47,335
HD219134,2455549.70604,-1.17,1.09,0.2546,0.03699,75718,39,335
HD219134,2455549.70699,-4.22,1.14,0.2553,0.03700,76058,37,335
HD219134,2455549.70796,-3.05,1.10,0.2562,0.03705,78030,41,335
HD219134,2455578.74075,-1.03,1.19,0.2550,0.03677,76597,35,335
HD219134,2455578.74173,-3.12,1.21,0.2524,0.03675,77131,44,335
HD219134,2455578.74276,-1.44,1.22,0.2571,0.03679,75464,43,335
HD219134,2455578.74395,-3.61,1.19,0.2594,0.03679,76881,54,335
HD219134,2455578.74516,-1.57,1.17,0.2536,0.03679,75391,61,335
HD219134,2455579.76039,-2.69,1.18,0.2411,0.03693,78726,33,335
HD219134,2455579.76130,-2.18,1.06,0.2413,0.03695,77671,31,335
HD219134,2455579.76215,-1.29,1.18,0.2484,0.03692,77602,30,335
HD219134,2455579.76301,-2.99,1.04,0.2504,0.03694,77953,32,335
HD219134,2455579.76390,-3.28,1.09,0.2490,0.03694,76976,32,335
HD219134,2455721.10999,-0.65,1.20,0.2279,0.03709,76416,25,335
HD219134,2455732.04909,-4.97,1.11,0.2313,0.03677,46185,261,335
HD219134,2455750.12362,2.96,1.09,0.2345,0.03680,76877,39,335
HD219134,2455750.12457,2.52,1.08,0.2349,0.03680,75703,43,335
HD219134,2455750.12561,2.41,1.02,0.2373,0.03681,76753,57,335
HD219134,2455750.12686,3.51,1.07,0.2366,0.03681,77486,56,335
HD219134,2455750.97932,2.12,1.09,0.2373,0.03683,74959,112,335
HD219134,2455750.98131,-1.41,1.00,0.2375,0.03690,75656,141,335
HD219134,2455750.98301,0.42,1.18,0.2376,0.03682,75462,73,335
HD219134,2455752.12966,4.96,1.13,0.2282,0.03683,49900,13,335
HD219134,2455753.11735,4.64,1.23,0.2313,0.03687,38785,38,335
HD219134,2455770.09516,-3.91,1.19,0.2358,0.03703,48545,56,335
HD219134,2455825.85484,-9.18,1.33,0.2304,0.03692,73816,19,335
HD219134,2455825.85558,-6.00,1.09,0.2330,0.03695,81228,20,335
HD219134,2455825.85630,-7.75,1.11,0.2319,0.03694,75667,18,335
HD219134,2455825.85704,-7.06,1.22,0.2308,0.03704,75668,20,335
HD219134,2455825.85779,-5.09,1.15,0.2260,0.03699,81336,21,335
HD219134,2455840.02733,6.08,1.41,0.2341,0.03697,76259,35,335
HD219134,2455840.02827,0.44,1.44,0.2408,0.03694,76563,38,335
HD219134,2455840.02914,1.79,1.36,0.2383,0.03688,77199,28,335
HD219134,2455840.03001,1.31,1.38,0.2427,0.03694,76284,32,335
HD219134,2455840.03091,2.48,1.48,0.2360,0.03688,76262,33,335
HD219134,2455840.86591,3.84,1.42,0.2363,0.03694,78533,31,335
HD219134,2455840.86674,3.03,1.31,0.2378,0.03689,75784,26,335
HD219134,2455840.86755,0.35,1.17,0.2386,0.03689,76825,24,335
HD219134,2455840.86833,3.73,1.32,0.2356,0.03692,74501,24,335
HD219134,2455840.86913,2.70,1.26,0.2374,0.03691,79570,22,335
HD219134,2455874.98752,-7.04,1.23,0.2568,0.03688,79416,27,335
HD219134,2455874.98832,-6.50,1.23,0.2491,0.03694,75882,25,335
HD219134,2455874.98914,-5.33,1.13,0.2346,0.03685,79192,26,335
HD219134,2455874.98999,-3.85,1.20,0.2473,0.03696,79981,26,335
HD219134,2455874.99080,-6.99,1.16,0.2417,0.03691,77925,26,335
HD219134,2455875.81872,-1.26,1.21,0.2405,0.03687,80634,24,335
