_tab5_1,RV,e_RV,FWHM,Contrast,Bisector,logR_HK,Texp
6816.718011,-18.41991,0.00040,6.05850,49.810,0.01177,-5.0350,900
6816.721726,-18.42000,0.00040,6.05742,49.805,0.01164,-5.0352,900
6816.725523,-18.42041,0.00041,6.05788,49.822,0.01111,-5.0356,900
6829.701733,-18.41448,0.00042,6.05972,49.841,0.01139,-5.0107,900
6829.704106,-18.41441,0.00042,6.05851,49.843,0.01157,-5.0124,900
6829.706432,-18.41440,0.00043,6.05946,49.844,0.01167,-5.0146,900
6829.708794,-18.41471,0.00042,6.05941,49.850,0.01137,-5.0138,900
6830.714598,-18.42075,0.00044,6.05974,49.846,0.01169,-5.0080,900
6830.716600,-18.42082,0.00044,6.05998,49.834,0.01238,-5.0053,900
6830.718603,-18.42085,0.00044,6.05969,49.847,0.01230,-5.0074,900
6830.720652,-18.42143,0.00045,6.05894,49.847,0.01170,-5.0101,900
6832.712897,-18.41906,0.00043,6.05903,49.854,0.01114,-5.0085,900
6832.715293,-18.41946,0.00043,6.06018,49.844,0.01263,-5.0099,900
6832.717654,-18.41916,0.00043,6.05952,49.849,0.01158,-5.0123,900
6833.714304,-18.42253,0.00045,6.05991,49.861,0.01127,-5.0087,900
6833.716677,-18.42289,0.00044,6.05957,49.856,0.01092,-5.0154,900
6833.719027,-18.42298,0.00044,6.05905,49.855,0.01112,-5.0112,900
6834.718189,-18.41880,0.00049,6.05867,49.869,0.01121,-5.0098,900
6834.720539,-18.41827,0.00049,6.06111,49.863,0.01100,-5.0109,900
6834.722888,-18.41866,0.00048,6.05988,49.860,0.01201,-5.0098,900
6835.721402,-18.41835,0.00047,6.05842,49.868,0.01220,-5.0154,900
6835.723868,-18.41809,0.00048,6.05933,49.869,0.01169,-5.0109,900
6836.707625,-18.42161,0.00044,6.05840,49.855,0.01133,-5.0159,900
6836.711815,-18.42162,0.00045,6.05888,49.861,0.01117,-5.0153,900
6836.716537,-18.42190,0.00045,6.05774,49.860,0.01134,-5.0198,900
6846.714925,-18.42174,0.00041,6.05444,49.875,0.01170,-5.0319,900
6847.708071,-18.41973,0.00041,6.05395,49.880,0.01044,-5.0321,900
6847.711787,-18.41977,0.00041,6.05321,49.879,0.01118,-5.0363,900
6847.715583,-18.41923,0.00041,6.05400,49.874,0.01098,-5.0332,900
6848.703891,-18.42296,0.00042,6.05424,49.887,0.01154,-5.0340,900
6848.707549,-18.42305,0.00041,6.05347,49.880,0.01125,-5.0354,900
6848.711450,-18.42323,0.00043,6.05334,49.884,0.01081,-5.0373,900
6850.721401,-18.42046,0.00041,6.05391,49.870,0.01164,-5.0368,900
6850.725174,-18.42049,0.00041,6.05432,49.871,0.01118,-5.0362,900
6851.719582,-18.42570,0.00040,6.05348,49.859,0.01070,-5.0377,900
6851.723379,-18.42628,0.00040,6.05331,49.867,0.01153,-5.0370,900
6851.727164,-18.42614,0.00041,6.05383,49.869,0.01063,-5.0387,900
6852.722162,-18.42589,0.00043,6.05243,49.891,0.01083,-5.0488,900
