Name,BJD,RV,e_RV,S,H,Count,Exp,Nrv
HD154345,2454307.92579,-26.05,1.34,0.1751,0.03216,74553,69,212
HD154345,2454307.92722,-24.04,1.28,0.1793,0.03212,74752,68,212
HD154345,2454308.90389,-20.67,1.23,0.1715,0.03216,73197,60,212
HD154345,2454308.90507,-20.55,1.37,0.1698,0.03214,74789,64,212
HD154345,2454309.88455,-20.23,1.32,0.1738,0.03204,74125,73,212
HD154345,2454309.88603,-24.21,1.37,0.1729,0.03207,74442,77,212
HD154345,2454310.87806,-16.22,1.21,0.1723,0.03203,73942,48,212
HD154345,2454310.87912,-18.13,1.44,0.1733,0.03203,75680,47,212
HD154345,2454311.86931,-16.18,1.25,0.1643,0.03215,73376,50,212
HD154345,2454311.87037,-20.50,1.28,0.1651,0.03209,74549,50,212
HD154345,2454312.86322,-15.62,1.22,0.1692,0.03211,73885,53,212
HD154345,2454312.86434,-15.62,1.34,0.1695,0.03212,73610,57,212
HD154345,2454313.86559,-20.68,1.28,0.1724,0.03207,75436,45,212
HD154345,2454313.86660,-14.78,1.44,0.1735,0.03204,74558,45,212
HD154345,2454314.89777,-14.50,1.37,0.1714,0.03222,73764,48,212
HD154345,2454314.89880,-19.09,1.33,0.1695,0.03220,73763,49,212
HD154345,2454318.92968,-20.45,1.25,0.1702,0.03240,133135,105,212
HD154345,2454318.93267,-18.18,1.17,0.1704,0.03251,170389,148,212
HD154345,2454335.81616,-18.42,1.23,0.1748,0.03227,74756,49,212
HD154345,2454335.81723,-16.65,1.33,0.1751,0.03224,74649,50,212
HD154345,2454546.09932,-9.25,1.45,0.1800,0.03226,76015,49,212
HD154345,2454547.12017,-6.95,1.35,0.1753,0.03232,76725,49,212
HD154345,2454634.01968,-5.24,1.47,0.1557,0.03214,47839,54,212
HD154345,2454636.95388,-11.55,1.59,0.1755,0.03222,47448,33,212
HD154345,2454667.92096,-13.67,1.30,0.1824,0.03227,75571,70,212
HD154345,2454673.90894,-11.85,1.40,0.1836,0.03233,75345,49,212
HD154345,2454674.88108,-12.60,1.88,0.1826,0.03224,23902,17,212
HD154345,2454674.88179,-7.44,1.73,0.1825,0.03220,25179,19,212
HD154345,2454701.94666,-8.90,1.31,0.1803,0.03223,75301,113,212
HD154345,2454702.85653,-7.76,1.50,0.1850,0.03219,74129,109,212
HD154345,2454703.88878,-11.84,1.41,0.1976,0.03226,75728,87,212
HD154345,2454704.85281,-8.98,1.32,0.1888,0.03223,74973,96,212
HD154345,2454724.83727,-8.88,1.38,0.1923,0.03224,44287,41,212
HD154345,2454928.09907,1.32,1.61,0.1896,0.03223,46528,40,212
HD154345,2454929.98766,-2.32,1.59,0.1801,0.03208,46394,377,212
HD154345,2454934.98567,-0.49,3.45,0.1875,0.03258,6169,500,212
HD154345,2454934.99244,-14.42,4.17,0.1892,0.03282,5266,500,212
HD154345,2454935.00017,2.48,1.94,0.1806,0.03235,25672,599,212
HD154345,2454955.93296,3.66,1.74,0.1856,0.03221,47633,33,212
HD154345,2454964.04926,8.50,1.72,0.1820,0.03217,46848,28,212
HD154345,2454968.03476,-4.53,1.81,0.1758,0.03217,26023,331,212
HD154345,2454984.96111,3.25,1.84,0.1913,0.03239,47700,29,212
HD154345,2455015.85954,2.74,1.45,0.1813,0.03226,48384,41,212
HD154345,2455021.99789,1.91,1.30,0.1895,0.03213,77457,85,212
HD154345,2455022.87574,1.97,1.34,0.1933,0.03219,76820,56,212
HD154345,2455023.80721,5.76,1.40,0.1888,0.03223,77037,175,212
HD154345,2455024.83309,9.07,1.39,0.1862,0.03228,77706,26,212
HD154345,2455042.78752,0.38,1.63,0.1847,0.03227,50076,49,212
HD154345,2455052.97456,3.69,1.41,0.2240,0.03218,79793,46,212
HD154345,2455053.83349,9.23,1.43,0.1290,0.03234,76945,51,212
HD154345,2455135.69216,11.09,1.54,0.1947,0.03214,47462,43,212
HD154345,2455143.70447,12.39,1.62,0.2110,0.03227,77314,211,212
HD154345,2455257.17341,12.81,1.63,0.1873,0.03227,48885,35,212
HD154345,2455259.02338,11.85,1.52,0.2007,0.03220,79264,86,212
HD154345,2455259.02487,14.42,1.52,0.2009,0.03223,78990,81,212
HD154345,2455260.15088,15.48,1.42,0.1938,0.03230,80900,60,212
HD154345,2455284.99419,9.16,1.49,0.1851,0.03223,49071,52,212
HD154345,2455313.88403,19.47,1.63,0.2164,0.03243,50052,35,212
HD154345,2455313.88493,13.18,1.58,0.2145,0.03243,48755,33,212
HD154345,2455313.88581,20.53,1.47,0.2144,0.03245,49485,33,212
HD154345,2455320.95944,14.49,1.56,0.2030,0.03229,50553,41,212
HD154345,2455320.96044,12.78,1.65,0.2030,0.03231,49883,43,212
HD154345,2455320.96159,14.17,1.59,0.2052,0.03234,51049,43,212
HD154345,2455339.91340,6.50,1.52,0.2119,0.03249,78593,140,212
HD154345,2455341.08763,8.42,1.49,0.2084,0.03244,79233,134,212
HD154345,2455351.12949,4.31,1.42,0.1941,0.03209,48493,47,212
HD154345,2455351.13053,16.50,1.55,0.1989,0.03211,47983,42,212
HD154345,2455370.84644,14.26,1.59,0.2153,0.03243,79595,100,212
HD154345,2455370.84813,14.49,1.49,0.2142,0.03248,78124,104,212
HD154345,2455372.05035,17.05,1.37,0.2139,0.03237,78562,66,212
HD154345,2455372.05162,15.38,1.45,0.2140,0.03239,78160,63,212
HD154345,2455372.05288,18.47,1.39,0.2147,0.03235,79295,64,212
HD154345,2455372.84667,16.08,1.52,0.2076,0.03247,51994,40,212
HD154345,2455399.95765,1.89,1.49,0.2004,0.03233,50527,47,212
HD154345,2455408.00269,4.34,1.17,0.2129,0.03210,79874,76,212
HD154345,2455408.00425,3.60,1.32,0.2233,0.03212,80495,79,212
HD154345,2455408.00575,4.06,1.27,0.2116,0.03211,80191,76,212
HD154345,2455408.93939,0.66,1.21,0.1962,0.03210,79568,75,212
HD154345,2455408.94088,2.29,1.37,0.2009,0.03208,78570,75,212
HD154345,2455408.94226,1.23,1.30,0.2006,0.03215,79408,78,212
HD154345,2455409.98387,3.91,1.27,0.2081,0.03213,80088,80,212
HD154345,2455409.98531,4.59,1.23,0.2144,0.03211,79779,82,212
HD154345,2455409.98670,4.12,1.16,0.2122,0.03211,79691,73,212
HD154345,2455464.70456,12.55,1.41,0.1862,0.03220,49843,33,212
HD154345,2455500.69670,9.47,1.47,0.1888,0.03204,49309,43,212
HD154345,2455518.71381,18.22,1.39,0.2147,0.03197,79052,72,212
HD154345,2455518.71527,16.01,1.53,0.2271,0.03201,81771,90,212
HD154345,2455518.71673,19.88,1.42,0.2159,0.03194,80659,78,212
HD154345,2455585.18380,8.45,1.60,0.1765,0.03189,49406,40,212
HD154345,2455608.17591,15.30,1.53,0.1780,0.03201,50026,60,212
HD154345,2455609.15174,14.28,1.46,0.1888,0.03219,78372,79,212
HD154345,2455609.15330,12.58,1.48,0.1849,-1.00000,78088,102,212
HD154345,2455609.15507,11.48,1.37,0.1851,0.03220,79641,106,212
HD154345,2455613.17449,4.69,1.61,0.1813,0.03217,49084,162,212
HD154345,2455636.15535,9.41,1.47,0.1808,0.03212,50359,35,212
HD154345,2455637.07837,9.11,1.52,0.1919,0.03197,49556,58,212
HD154345,2455637.07948,5.06,1.51,0.2020,0.03205,49251,47,212
HD154345,2455637.08053,6.66,1.65,0.1911,0.03201,48884,47,212
HD154345,2455638.04706,6.59,1.58,0.1804,0.03199,81206,70,212
HD154345,2455638.04851,6.65,1.43,0.1769,0.03204,82166,70,212
HD154345,2455638.04983,4.29,1.43,0.1752,0.03205,81196,72,212
HD154345,2455639.12942,6.00,1.47,0.1891,0.03212,78433,135,212
HD154345,2455639.13160,4.00,1.43,0.1885,0.03211,78457,156,212
HD154345,2455639.13380,6.63,1.40,0.1901,0.03212,78983,118,212
HD154345,2455665.01177,3.42,1.60,0.1827,0.03211,80892,54,212
HD154345,2455665.01290,6.39,1.52,0.1831,0.03208,79484,54,212
HD154345,2455665.01404,5.07,1.49,0.1821,0.03209,80931,54,212
HD154345,2455670.09448,8.54,1.35,0.1764,0.03197,80429,55,212
HD154345,2455670.09561,4.24,1.41,0.1772,0.03198,80398,52,212
HD154345,2455670.09674,6.18,1.52,0.1779,0.03193,80459,52,212
HD154345,2455673.94528,12.48,1.49,0.1809,0.03200,48098,35,212
HD154345,2455673.94620,13.71,1.55,0.1788,0.03202,49740,36,212
HD154345,2455673.94711,11.96,1.71,0.1790,0.03200,49770,36,212
HD154345,2455721.02652,6.13,1.58,0.1842,0.03196,78769,138,212
HD154345,2455721.02881,4.43,1.43,0.1787,0.03214,78750,146,212
HD154345,2455722.06159,8.64,1.74,0.1835,0.03197,29018,600,212
HD154345,2455722.06927,8.91,2.23,0.1808,0.03198,15805,302,212
HD154345,2455722.85809,5.73,1.57,0.1813,0.03181,48644,346,212
HD154345,2455749.95103,6.22,1.28,0.1799,0.03202,79279,129,212
HD154345,2455749.95308,4.69,1.40,0.1802,0.03200,79762,130,212
HD154345,2455749.95501,5.93,1.24,0.1796,0.03199,78654,129,212
HD154345,2455750.95616,4.97,1.18,0.1794,0.03195,78190,359,212
HD154345,2455761.76012,5.40,1.51,0.1805,0.03222,50177,31,212
HD154345,2455781.72936,6.57,1.47,0.1810,0.03203,48901,29,212
HD154345,2455808.73119,2.13,1.55,0.1798,0.03213,49370,142,212
HD154345,2455824.83772,0.35,1.30,0.1799,0.03201,79471,123,212
HD154345,2455824.83965,-2.56,1.44,0.1814,0.03201,78987,117,212
HD154345,2455825.78759,-3.15,1.43,0.1769,0.03197,78464,78,212
HD154345,2455825.78901,2.36,1.27,0.1743,0.03198,78262,74,212
HD154345,2455825.79046,0.97,1.25,0.1769,0.03205,79784,78,212
HD154345,2455839.77957,0.08,1.28,0.1793,0.03204,78817,100,212
HD154345,2455839.78115,0.61,1.29,0.1789,0.03202,78767,98,212
HD154345,2455839.78280,-0.30,1.23,0.1821,0.03204,79896,85,212
HD154345,2455840.81557,-1.12,1.15,0.1893,0.03207,81757,94,212
HD154345,2455840.81716,-1.02,1.35,0.1997,0.03208,82180,100,212
HD154345,2455840.81888,1.58,1.24,0.2012,0.03204,81823,104,212
HD154345,2455850.73250,5.16,1.34,0.1889,0.03200,49069,36,212
HD154345,2455961.17816,5.01,1.60,0.1663,0.03195,49450,35,212
HD154345,2455971.12794,-1.23,1.37,0.1662,0.03194,80201,81,212
HD154345,2455971.12936,0.63,1.46,0.1675,0.03198,79370,81,212
HD154345,2455971.13087,-1.96,1.44,0.1675,0.03194,79016,89,212
HD154345,2456025.02888,0.50,1.54,0.1745,0.03213,78300,226,212
HD154345,2456025.03197,-0.67,1.57,0.1769,0.03211,77990,219,212
HD154345,2456025.04006,1.77,1.52,0.1745,0.03214,78072,248,212
HD154345,2456115.73962,4.97,1.49,0.1782,0.03202,50606,28,212
HD154345,2456117.91476,-7.13,1.32,0.1771,0.03201,80520,78,212
HD154345,2456117.91611,-5.42,1.28,0.1723,0.03203,79423,70,212
HD154345,2456117.91742,-6.24,1.19,0.1769,0.03202,78452,68,212
HD154345,2456168.83660,-4.84,1.47,0.1752,0.03190,78337,83,212
HD154345,2456168.83800,-2.43,1.29,0.1727,0.03197,79669,76,212
HD154345,2456168.83936,-5.76,1.31,0.1764,0.03190,78652,72,212
HD154345,2456174.71220,-4.18,1.47,0.1430,0.03191,48408,60,212
HD154345,2456320.18139,-2.62,1.53,0.1687,0.03200,49164,0,212
HD154345,2456326.18275,-10.69,1.49,0.1696,0.03193,50344,31,212
HD154345,2456449.12188,-11.92,1.55,0.1087,0.03179,48549,0,212
HD154345,2456486.75024,-16.84,1.46,0.1683,0.03213,51409,44,212
HD154345,2456588.69110,-20.40,1.64,0.1708,0.03204,49836,32,212
HD154345,2456710.16556,-16.96,1.70,0.1713,0.03217,50211,38,212
