Phase,Seq,BJD,dRV,e_dRV,SHK,e_SHK
III,267,2457034.58531,3.7,5.2,0.235,0.020
III,268,2457034.58923,1.0,5.1,0.240,0.021
III,269,2457216.96911,-15.4,4.4,0.227,0.022
III,270,2457216.97303,-10.1,4.4,0.228,0.022
III,271,2457242.97173,-6.4,4.8,0.219,0.022
III,272,2457246.93479,-1.0,4.2,0.232,0.025
III,273,2457246.94650,-2.7,4.3,0.245,0.032
III,274,2457248.94480,1.6,4.3,0.221,0.022
III,275,2457250.91127,-9.1,4.0,0.225,0.023
III,276,2457251.93302,-3.6,4.1,0.226,0.021
III,277,2457277.82534,2.0,5.3,,
III,278,2457277.83083,1.6,5.0,,
III,279,2457278.86681,-6.5,4.4,,
III,280,2457278.87313,-4.3,4.3,,
III,281,2457280.81316,0.3,4.5,,
III,282,2457280.81724,-1.2,4.4,,
III,283,2457280.82145,-1.4,4.6,,
III,284,2457281.83279,-10.0,5.2,,
III,285,2457281.83801,-6.5,5.4,,
III,286,2457281.84322,-10.8,5.2,,
III,287,2457282.83953,1.9,5.0,,
III,288,2457283.90624,-6.4,8.2,,
III,289,2457283.91082,-1.5,7.4,,
III,290,2457283.91551,-4.5,7.9,,
III,291,2457309.77694,-8.2,5.1,,
III,292,2457310.83034,-5.9,4.6,,
III,293,2457311.66233,-7.0,4.3,,
III,294,2457311.66781,-8.1,4.7,,
III,295,2457311.67241,-11.4,4.6,,
