CCD,Seq,BJD,dRV,e_dRV,SHK,e_SHK
New,178,2454839.74668,-4.0,4.1,0.191,0.005
New,179,2454839.74737,-2.9,3.8,0.201,0.005
New,180,2454839.74806,-7.1,4.0,0.197,0.005
New,181,2454839.74874,-2.8,4.0,0.199,0.005
New,182,2454839.74979,-4.8,4.0,0.198,0.005
New,183,2454839.75045,-11.5,4.0,0.206,0.005
New,184,2454839.75110,-7.0,4.2,0.204,0.005
New,185,2454839.75177,-6.0,4.0,0.207,0.005
New,186,2454839.75244,-7.7,4.0,0.203,0.005
New,187,2454839.75311,-5.3,4.0,0.204,0.005
New,188,2454839.75378,-6.3,3.8,0.205,0.005
New,189,2454839.75445,-7.7,4.0,0.206,0.005
New,190,2454839.75513,-6.1,4.1,0.199,0.005
New,191,2454839.75581,-1.7,3.8,0.200,0.005
New,192,2454839.75688,-9.5,3.9,0.196,0.005
New,193,2454839.75756,2.2,3.9,0.206,0.005
New,194,2454839.75823,-3.1,3.9,0.201,0.005
New,195,2454839.75889,-7.6,3.8,0.199,0.005
New,196,2455221.69220,-3.2,3.7,0.184,0.004
New,197,2455221.69305,-8.0,4.3,0.178,0.005
New,198,2455221.69392,-8.8,3.7,0.183,0.005
New,199,2455221.69466,-9.4,4.0,0.182,0.005
New,200,2455221.69541,-9.8,4.2,0.181,0.005
New,201,2455221.69617,-4.0,3.8,0.186,0.005
New,202,2455221.69690,-10.3,4.1,0.180,0.005
New,203,2455221.69764,-6.4,4.0,0.183,0.005
New,204,2455221.69837,-2.0,4.0,0.187,0.005
New,205,2455221.69910,-7.0,4.0,0.180,0.005
New,206,2455221.69985,-5.4,4.0,0.181,0.005
New,207,2455221.70059,-1.8,4.2,0.186,0.005
New,208,2455221.70131,-7.5,3.9,0.185,0.005
New,209,2455221.70206,-6.8,3.8,0.184,0.005
New,210,2455221.70280,-9.2,3.9,0.186,0.005
New,211,2455221.70353,-9.0,3.9,0.182,0.004
New,212,2455221.70429,-8.6,3.9,0.182,0.005
New,213,2455221.70515,-4.3,4.0,0.184,0.005
New,214,2455221.70589,-11.1,4.1,0.185,0.004
New,215,2455221.70666,-10.4,3.9,0.185,0.005
New,216,2455221.70741,-6.2,3.9,0.182,0.005
New,217,2455221.70814,-4.1,4.0,0.187,0.005
New,218,2455221.70888,-10.6,3.9,0.179,0.005
New,219,2455221.70964,-8.3,3.9,0.183,0.005
New,220,2455221.71040,-8.3,3.8,0.182,0.005
New,221,2455221.71114,-8.6,3.8,0.183,0.005
New,222,2455221.71189,-13.0,3.8,0.181,0.005
New,223,2455221.71264,-5.9,3.9,0.183,0.005
New,224,2455221.71340,-8.9,4.0,0.182,0.005
New,225,2455221.71487,-7.6,4.2,0.181,0.005
New,226,2455221.71561,-11.4,3.9,0.176,0.005
New,227,2455222.69363,-5.0,4.0,0.185,0.005
New,228,2455222.69438,-7.2,3.9,0.197,0.005
New,229,2455222.69513,-5.3,3.8,0.192,0.005
New,230,2455222.69585,-4.0,4.0,0.184,0.005
New,231,2455222.69671,-3.4,3.8,0.191,0.005
New,232,2455222.69756,-5.5,3.8,0.194,0.005
New,233,2455222.69828,-6.0,3.9,0.190,0.005
New,234,2455222.69903,-3.5,3.6,0.197,0.005
New,235,2455222.69977,-3.2,3.6,0.193,0.005
New,236,2455222.70050,-3.3,3.9,0.189,0.005
New,237,2455222.70138,-3.0,4.0,0.193,0.005
New,238,2455222.70211,-4.5,3.8,0.190,0.005
New,239,2455222.70211,-5.4,4.0,0.187,0.005
New,240,2455222.70360,-1.5,3.7,0.187,0.004
New,241,2455222.70435,-6.6,3.9,0.190,0.005
New,242,2455222.70510,-2.6,3.8,0.191,0.005
New,243,2455222.70583,-7.6,3.7,0.185,0.005
New,244,2455222.70658,-7.8,3.8,0.191,0.005
New,245,2455222.70731,-7.4,3.7,0.192,0.005
New,246,2455222.70805,-8.7,3.9,0.190,0.004
New,247,2455222.70880,-9.4,3.8,0.190,0.005
New,248,2455222.70956,-5.3,3.7,0.188,0.005
New,249,2455222.71029,-2.0,3.6,0.192,0.005
New,250,2455222.71103,-7.4,3.9,0.181,0.004
New,251,2455222.71178,-3.1,3.8,0.186,0.005
New,252,2455222.71250,-5.4,4.0,0.188,0.005
New,253,2455222.71326,-6.9,3.8,0.189,0.005
New,254,2455223.69500,-2.2,3.7,0.188,0.004
New,255,2455223.69575,-4.6,3.6,0.190,0.004
New,256,2455223.69650,-3.6,3.5,0.190,0.004
New,257,2455223.69724,-1.4,3.6,0.192,0.004
New,258,2455223.69799,-5.1,3.5,0.189,0.004
New,259,2455223.69873,-2.2,3.9,0.189,0.004
New,260,2455223.69948,-5.2,3.6,0.189,0.004
New,261,2455223.70036,-2.7,3.8,0.186,0.004
New,262,2455223.70111,-0.9,3.8,0.189,0.004
New,263,2455223.70185,-2.4,3.8,0.187,0.004
New,264,2455223.70263,-6.2,3.9,0.188,0.004
New,265,2455223.70338,-2.6,3.7,0.188,0.004
New,266,2455223.70425,-5.1,4.0,0.188,0.004
New,267,2455223.70503,-4.3,3.6,0.189,0.004
New,268,2455223.70579,-3.7,3.9,0.190,0.004
New,269,2455223.70654,-2.6,3.7,0.192,0.004
